product_name,product_url,product_seller,product_seller_url,product_brand,product_brand_url,product_price,product_price_url,product_savings
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_1?keywords=smartphone&qid=1637599392&sr=8-1,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Redmi,https://www.amazon.in/Redmi/b/ref=bl_dp_s_web_20930485031?ie=UTF8&node=20930485031&field-lbr_brands_browse-bin=Redmi,,,
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_2?keywords=smartphone&qid=1637599392&sr=8-2,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Oppo Store,https://www.amazon.in/stores/OPPOBRANDSTORE/page/DA7C0308-4E33-4EC0-8B95-AB851D49CB76?ref_=ast_bln,"12,990",https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_2?keywords=smartphone&qid=1637599392&sr=8-2,"Save ₹3,000 (19%)"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?keywords=smartphone&qid=1637599392&sr=8-3,Darshita Etel,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=AQUYM0O99MFUT&isAmazonFulfilled=1&ref=dp_merchant_link,Brand: Redmi,https://www.amazon.in/Redmi/b/ref=bl_dp_s_web_20930485031?ie=UTF8&node=20930485031&field-lbr_brands_browse-bin=Redmi,"9,299",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?keywords=smartphone&qid=1637599392&sr=8-3,"Save ₹1,700 (15%)"
"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_4?keywords=smartphone&qid=1637599392&sr=8-4,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Oppo Store,https://www.amazon.in/stores/OPPOBRANDSTORE/page/DA7C0308-4E33-4EC0-8B95-AB851D49CB76?ref_=ast_bln,"12,990",https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_4?keywords=smartphone&qid=1637599392&sr=8-4,"Save ₹3,000 (19%)"
"OPPO A74 5G (Fluid Black,6GB RAM,128GB Storage) - 5G Android Smartphone | 5000 mAh Battery | 18W Fast Charge | 90Hz LCD Display",https://www.amazon.in/OPPO-Fluid-Black-128GB-Storage/dp/B08VB2CMR3/ref=sr_1_5?keywords=smartphone&qid=1637599392&sr=8-5,Appario Retail Private Ltd,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A14CZOWI0VEHLG&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Oppo Store,https://www.amazon.in/stores/OPPOBRANDSTORE/page/DA7C0308-4E33-4EC0-8B95-AB851D49CB76?ref_=ast_bln,"17,990",https://www.amazon.in/OPPO-Fluid-Black-128GB-Storage/dp/B08VB2CMR3/ref=sr_1_5?keywords=smartphone&qid=1637599392&sr=8-5,"Save ₹3,000 (14%)"
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_6?keywords=smartphone&qid=1637599392&sr=8-6,STPL Exclusive Online,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A1EWEIV3F4B24B&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Samsung Store,https://www.amazon.in/stores/SamsungBrandStore/page/7613B800-61FF-4320-8DEF-4A3711D5E41C?ref_=ast_bln,"11,499",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_6?keywords=smartphone&qid=1637599392&sr=8-6,"Save ₹1,500 (12%)"
"Panasonic Eluga I6 (Black, 2GB Ram, 16GB Storage) - 3 Month No Cost EMI",https://www.amazon.in/Panasonic-Eluga-Black-16GB-Storage/dp/B085W2YQ1F/ref=sr_1_7?keywords=smartphone&qid=1637599392&sr=8-7,eTrade Online,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A2JRT5V3UPLILP&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Panasonic Store,https://www.amazon.in/stores/Panasonic/page/BD0A5BF4-BC8C-4F75-87D5-BE6A0E9F4BF3?ref_=ast_bln,"5,489",https://www.amazon.in/Panasonic-Eluga-Black-16GB-Storage/dp/B085W2YQ1F/ref=sr_1_7?keywords=smartphone&qid=1637599392&sr=8-7,"Save ₹5,501 (50%)"
"OnePlus Nord CE 5G (Charcoal Ink, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Charcoal-128GB-Storage/dp/B09576CYNP/ref=sr_1_8?keywords=smartphone&qid=1637599392&sr=8-8,Darshita Electronics,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A23AODI1X2CEAE&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the OnePlus Store,https://www.amazon.in/stores/OnePlusStore/page/4DAE8B02-A058-466A-8E80-96B9C1682762?ref_=ast_bln,"24,999",https://www.amazon.in/OnePlus-Nord-Charcoal-128GB-Storage/dp/B09576CYNP/ref=sr_1_8?keywords=smartphone&qid=1637599392&sr=8-8,
Redmi 10 Prime (Phantom Black 4GB RAM 64GB | Helio G88 with extendable RAM Upto 2GB | FHD+ 90Hz Adaptive Sync Display),https://www.amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CTYGJSD/ref=sr_1_9?keywords=smartphone&qid=1637599392&sr=8-9,Darshita Electronics,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A23AODI1X2CEAE&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Redmi Store,https://www.amazon.in/stores/Xiaomi/page/7E426C3E-B7D6-4EFA-B615-36E9FF5C0F1C?ref_=ast_bln,"12,499",https://www.amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CTYGJSD/ref=sr_1_9?keywords=smartphone&qid=1637599392&sr=8-9,"Save ₹2,500 (17%)"
"Samsung Galaxy M12 (Black,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Replacement/dp/B08XJBPCTR/ref=sr_1_10?keywords=smartphone&qid=1637599392&sr=8-10,STPL Exclusive Online,https://www.amazon.in/sp?marketplaceID=A21TJRUUN4KGV&seller=A1EWEIV3F4B24B&isAmazonFulfilled=1&ref=dp_merchant_link,Visit the Samsung Store,https://www.amazon.in/stores/SamsungBrandStore/page/7613B800-61FF-4320-8DEF-4A3711D5E41C?ref_=ast_bln,"13,499",https://www.amazon.in/Samsung-Galaxy-M12-Storage-Replacement/dp/B08XJBPCTR/ref=sr_1_10?keywords=smartphone&qid=1637599392&sr=8-10,"Save ₹2,000 (13%)"
