breakdown_name,breakdown_ttm,breakdown_sept_29_2021,breakdown_sept_29_2020,breakdown_sept_9_2021,breakdown_sept_9_2020
Total Revenue,"36,58,17,000","36,58,17,000","27,45,15,000",,
Cost of Revenue,"21,29,81,000","21,29,81,000","16,95,59,000",,
Gross Profit,"15,28,36,000","15,28,36,000","10,49,56,000",,
Operating Expense,"4,38,87,000","4,38,87,000","3,86,68,000",,
Operating Income,"10,89,49,000","10,89,49,000","6,62,88,000",,
Net Non Operating Interest Income Expense,"1,98,000","1,98,000","8,90,000",,
Other Income Expense,"60,000","60,000","-87,000",,
Pretax Income,"10,92,07,000","10,92,07,000","6,70,91,000",,
Tax Provision,"1,45,27,000","1,45,27,000","96,80,000",,
Net Income Common Stockholders,"9,46,80,000","9,46,80,000","5,74,11,000",,
Diluted NI Available to Com Stockholders,"9,46,80,000","9,46,80,000","5,74,11,000",,
Basic EPS,,,,,
Diluted EPS,,,,,
Basic Average Shares,,,"1,73,52,119",,
Diluted Average Shares,,,"1,75,28,214",,
Total Operating Income as Reported,"10,89,49,000","10,89,49,000","6,62,88,000",,
Total Expenses,"25,68,68,000","25,68,68,000","20,82,27,000",,
Net Income from Continuing & Discontinued Operation,"9,46,80,000","9,46,80,000","5,74,11,000",,
Normalized Income,"9,46,80,000","9,46,80,000","5,74,11,000",,
Interest Income,"28,43,000","28,43,000","37,63,000",,
Interest Expense,"26,45,000","26,45,000","28,73,000",,
Net Interest Income,"1,98,000","1,98,000","8,90,000",,
EBIT,"11,18,52,000","11,18,52,000","6,99,64,000",,
EBITDA,"12,31,36,000",,,,
Reconciled Cost of Revenue,"21,29,81,000","21,29,81,000","16,95,59,000",,
Reconciled Depreciation,"1,12,84,000","1,12,84,000","1,10,56,000",,
Net Income from Continuing Operation Net Minority Interest,"9,46,80,000","9,46,80,000","5,74,11,000",,
Normalized EBITDA,"12,31,36,000","12,31,36,000","8,10,20,000",,
Tax Rate for Calcs,0,0,0,,
Tax Effect of Unusual Items,0,0,0,,
Operating Cash Flow,"10,40,38,000","10,40,38,000","8,06,74,000",,
Investing Cash Flow,"-1,45,45,000","-1,45,45,000","-42,89,000",,
Financing Cash Flow,"-9,33,53,000","-9,33,53,000","-8,68,20,000",,
End Cash Position,"3,59,29,000","3,59,29,000","3,97,89,000",,
Income Tax Paid Supplemental Data,"2,53,85,000","2,53,85,000","95,01,000",,
Interest Paid Supplemental Data,"26,87,000","26,87,000","30,02,000",,
Capital Expenditure,"-1,10,85,000","-1,10,85,000","-73,09,000",,
Issuance of Capital Stock,"11,05,000","11,05,000","8,80,000",,
Issuance of Debt,"2,03,93,000","2,03,93,000","1,60,91,000",,
Repayment of Debt,"-87,50,000","-87,50,000","-1,26,29,000",,
Repurchase of Capital Stock,"-8,59,71,000","-8,59,71,000","-7,23,58,000",,
Free Cash Flow,"9,29,53,000","9,29,53,000","7,33,65,000",,
Total Assets,,,,"35,10,02,000","32,38,88,000"
Total Liabilities Net Minority Interest,,,,"28,79,12,000","25,85,49,000"
Total Equity Gross Minority Interest,,,,"6,30,90,000","6,53,39,000"
Total Capitalization,,,,"17,21,96,000","16,40,06,000"
Common Stock Equity,,,,"6,30,90,000","6,53,39,000"
Net Tangible Assets,,,,"6,30,90,000","6,53,39,000"
Working Capital,,,,"93,55,000","3,83,21,000"
Invested Capital,,,,"18,78,09,000","17,77,75,000"
Tangible Book Value,,,,"6,30,90,000","6,53,39,000"
Total Debt,,,,"12,47,19,000","11,24,36,000"
Net Debt,,,,"8,97,79,000","7,44,20,000"
Share Issued,,,,"1,64,26,786","1,69,76,763"
Ordinary Shares Number,,,,"1,64,26,786","1,69,76,763"
